iter,stepsize,mean_eval,median_eval,pop_best_eval
1,ReadOnlyTensor(0.0394),4.922494888305664,4.887201309204102,9.490327835083008
2,ReadOnlyTensor(0.0388),9.265233039855957,9.629606246948242,13.1524658203125
3,ReadOnlyTensor(0.0383),5.069143295288086,3.072718620300293,9.954278945922852
4,ReadOnlyTensor(0.0379),6.233262538909912,5.459031105041504,9.85344123840332
5,ReadOnlyTensor(0.0375),5.744124412536621,5.9147162437438965,11.05235481262207
6,ReadOnlyTensor(0.0371),7.470181465148926,7.947647571563721,11.428762435913086
7,ReadOnlyTensor(0.0367),8.472749710083008,9.276065826416016,13.060388565063477
8,ReadOnlyTensor(0.0364),8.248940467834473,7.2424492835998535,12.70460319519043
9,ReadOnlyTensor(0.0361),6.6320366859436035,5.042923450469971,10.829935073852539
10,ReadOnlyTensor(0.0358),6.12246036529541,5.05135440826416,11.570365905761719
11,ReadOnlyTensor(0.0356),10.99839973449707,11.080747604370117,14.158109664916992
12,ReadOnlyTensor(0.0353),6.771395206451416,5.677212238311768,11.017716407775879
13,ReadOnlyTensor(0.0351),7.85223388671875,6.768238544464111,12.961831092834473
14,ReadOnlyTensor(0.0349),8.534260749816895,6.884222030639648,14.211458206176758
15,ReadOnlyTensor(0.0346),11.063642501831055,10.797189712524414,14.90217399597168
16,ReadOnlyTensor(0.0344),8.658093452453613,9.172243118286133,11.511556625366211
17,ReadOnlyTensor(0.0342),9.191144943237305,9.432055473327637,12.308282852172852
18,ReadOnlyTensor(0.0341),10.345314025878906,10.58141803741455,12.930411338806152
19,ReadOnlyTensor(0.0339),7.322872161865234,7.814104080200195,12.11371898651123
20,ReadOnlyTensor(0.0337),9.524921417236328,9.365724563598633,12.895767211914062
21,ReadOnlyTensor(0.0335),7.899136543273926,6.921823501586914,12.869080543518066
22,ReadOnlyTensor(0.0334),8.481088638305664,8.25595474243164,11.50197982788086
23,ReadOnlyTensor(0.0332),6.847618103027344,8.83649730682373,12.209413528442383
24,ReadOnlyTensor(0.0331),9.645047187805176,10.13016128540039,12.977189064025879
25,ReadOnlyTensor(0.0330),10.024682998657227,9.998462677001953,12.362393379211426
26,ReadOnlyTensor(0.0328),8.892167091369629,9.140591621398926,11.756790161132812
27,ReadOnlyTensor(0.0327),9.390863418579102,10.797103881835938,13.22381591796875
28,ReadOnlyTensor(0.0326),8.064355850219727,7.030052661895752,13.40597152709961
29,ReadOnlyTensor(0.0325),8.30660629272461,8.472073554992676,11.994525909423828
30,ReadOnlyTensor(0.0324),10.160443305969238,10.734506607055664,14.27729320526123
31,ReadOnlyTensor(0.0323),9.920560836791992,9.880098342895508,11.93583869934082
32,ReadOnlyTensor(0.0323),10.270284652709961,10.029447555541992,14.219822883605957
33,ReadOnlyTensor(0.0322),10.083317756652832,9.936330795288086,12.802189826965332
34,ReadOnlyTensor(0.0321),10.046307563781738,9.736536026000977,13.570592880249023
35,ReadOnlyTensor(0.0320),9.228753089904785,9.152153015136719,10.399238586425781
36,ReadOnlyTensor(0.0319),10.877986907958984,11.129335403442383,12.77627182006836
37,ReadOnlyTensor(0.0319),10.811439514160156,10.566999435424805,12.452667236328125
38,ReadOnlyTensor(0.0318),12.54090404510498,13.043941497802734,15.082804679870605
39,ReadOnlyTensor(0.0318),11.86618423461914,11.545854568481445,15.064105987548828
40,ReadOnlyTensor(0.0317),9.951933860778809,9.710649490356445,11.990771293640137
41,ReadOnlyTensor(0.0317),9.162862777709961,8.987648963928223,11.409204483032227
42,ReadOnlyTensor(0.0317),10.085342407226562,10.073114395141602,12.759244918823242
43,ReadOnlyTensor(0.0316),7.956618309020996,7.66641902923584,11.949586868286133
44,ReadOnlyTensor(0.0316),8.83008861541748,9.366300582885742,14.67251968383789
45,ReadOnlyTensor(0.0316),7.683016300201416,8.544943809509277,11.556451797485352
46,ReadOnlyTensor(0.0316),9.004426002502441,8.04456901550293,12.814188003540039
47,ReadOnlyTensor(0.0316),10.208450317382812,9.961431503295898,13.402257919311523
48,ReadOnlyTensor(0.0315),9.095474243164062,7.929549217224121,14.480663299560547
49,ReadOnlyTensor(0.0315),9.580402374267578,8.872133255004883,15.716896057128906
